61: min_energy: 416.0, max_energy: 2680.0, {'qpu_sampling_time': 14758.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 107.04, 'qpu_access_time': 29825.96, 'qpu_access_overhead_time': 4376.04, 'qpu_programming_time': 15067.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 598.0, 'post_processing_overhead_time': 598.0}
62: min_energy: 115.0, max_energy: 660.0, {'qpu_sampling_time': 14206.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 101.52, 'qpu_access_time': 29275.56, 'qpu_access_overhead_time': 5790.44, 'qpu_programming_time': 15069.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 348.0, 'post_processing_overhead_time': 348.0}
63: min_energy: 558.0, max_energy: 4229.0, {'qpu_sampling_time': 18840.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 147.86, 'qpu_access_time': 33909.56, 'qpu_access_overhead_time': 5669.44, 'qpu_programming_time': 15069.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 421.0, 'post_processing_overhead_time': 421.0}
64: min_energy: 1830.0, max_energy: 10044.0, {'qpu_sampling_time': 17008.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 129.54, 'qpu_access_time': 32075.16, 'qpu_access_overhead_time': 5567.84, 'qpu_programming_time': 15067.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 561.0, 'post_processing_overhead_time': 561.0}
65: min_energy: 2129.0, max_energy: 6971.0, {'qpu_sampling_time': 15376.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 113.22, 'qpu_access_time': 30445.96, 'qpu_access_overhead_time': 2302.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 372.0, 'post_processing_overhead_time': 372.0}
66: min_energy: 326.0, max_energy: 1468.0, {'qpu_sampling_time': 20494.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 164.4, 'qpu_access_time': 35568.36, 'qpu_access_overhead_time': 4285.64, 'qpu_programming_time': 15074.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 357.0, 'post_processing_overhead_time': 357.0}
67: min_energy: 705.0, max_energy: 3281.0, {'qpu_sampling_time': 14950.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 108.96, 'qpu_access_time': 30019.16, 'qpu_access_overhead_time': 5218.84, 'qpu_programming_time': 15069.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 819.0, 'post_processing_overhead_time': 819.0}
68: min_energy: 1583.0, max_energy: 7221.0, {'qpu_sampling_time': 20066.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 160.12, 'qpu_access_time': 35136.76, 'qpu_access_overhead_time': 5026.24, 'qpu_programming_time': 15070.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 4353.0, 'post_processing_overhead_time': 4353.0}
69: min_energy: 3260.0, max_energy: 14981.0, {'qpu_sampling_time': 15264.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 112.1, 'qpu_access_time': 30333.56, 'qpu_access_overhead_time': 2459.44, 'qpu_programming_time': 15069.56, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 530.0, 'post_processing_overhead_time': 530.0}
70: min_energy: 1878.0, max_energy: 7752.0, {'qpu_sampling_time': 18310.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 142.56, 'qpu_access_time': 33378.36, 'qpu_access_overhead_time': 4054.64, 'qpu_programming_time': 15068.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 913.0, 'post_processing_overhead_time': 913.0}
71: min_energy: 758.0, max_energy: 6138.0, {'qpu_sampling_time': 19574.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 155.2, 'qpu_access_time': 34645.16, 'qpu_access_overhead_time': 2274.84, 'qpu_programming_time': 15071.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 779.0, 'post_processing_overhead_time': 779.0}
72: min_energy: 3456.0, max_energy: 17531.0, {'qpu_sampling_time': 17948.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 138.94, 'qpu_access_time': 33022.36, 'qpu_access_overhead_time': 4084.64, 'qpu_programming_time': 15074.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 549.0, 'post_processing_overhead_time': 549.0}
