49: min_energy: 805.0, max_energy: 7414.0, {'qpu_sampling_time': 10148.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 60.94, 'qpu_access_time': 25217.96, 'qpu_access_overhead_time': 4482.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 767.0, 'post_processing_overhead_time': 767.0}
50: min_energy: 526.0, max_energy: 7396.0, {'qpu_sampling_time': 14318.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 102.64, 'qpu_access_time': 29388.36, 'qpu_access_overhead_time': 6400.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 390.0, 'post_processing_overhead_time': 390.0}
51: min_energy: 225.0, max_energy: 3152.0, {'qpu_sampling_time': 15294.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 112.4, 'qpu_access_time': 30365.16, 'qpu_access_overhead_time': 4294.84, 'qpu_programming_time': 15071.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 680.0, 'post_processing_overhead_time': 680.0}
52: min_energy: 616.0, max_energy: 4104.0, {'qpu_sampling_time': 11842.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 77.88, 'qpu_access_time': 26913.16, 'qpu_access_overhead_time': 5799.84, 'qpu_programming_time': 15071.16, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 405.0, 'post_processing_overhead_time': 405.0}
53: min_energy: 1311.0, max_energy: 10452.0, {'qpu_sampling_time': 13932.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 98.78, 'qpu_access_time': 29001.96, 'qpu_access_overhead_time': 2852.04, 'qpu_programming_time': 15069.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1328.0, 'post_processing_overhead_time': 1328.0}
54: min_energy: 366.0, max_energy: 1538.0, {'qpu_sampling_time': 13716.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 96.62, 'qpu_access_time': 28789.96, 'qpu_access_overhead_time': 5854.04, 'qpu_programming_time': 15073.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 675.0, 'post_processing_overhead_time': 675.0}
55: min_energy: -128.0, max_energy: -124.0, {'qpu_sampling_time': 16906.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 128.52, 'qpu_access_time': 31976.76, 'qpu_access_overhead_time': 4899.24, 'qpu_programming_time': 15070.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 1916.0, 'post_processing_overhead_time': 1916.0}
56: min_energy: 2202.0, max_energy: 10574.0, {'qpu_sampling_time': 18892.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 148.38, 'qpu_access_time': 33962.76, 'qpu_access_overhead_time': 2609.24, 'qpu_programming_time': 15070.76, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 515.0, 'post_processing_overhead_time': 515.0}
57: min_energy: 794.0, max_energy: 4912.0, {'qpu_sampling_time': 13814.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 97.6, 'qpu_access_time': 28885.96, 'qpu_access_overhead_time': 6349.04, 'qpu_programming_time': 15071.96, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 720.0, 'post_processing_overhead_time': 720.0}
58: min_energy: -114.0, max_energy: -111.0, {'qpu_sampling_time': 17606.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 135.52, 'qpu_access_time': 32676.36, 'qpu_access_overhead_time': 4283.64, 'qpu_programming_time': 15070.36, 'qpu_delay_time_per_sample': 20.54, 'total_post_processing_time': 491.0, 'post_processing_overhead_time': 491.0}
